Unnamed: 0,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name,Exact Names,Entity Types,Identification Numbers,Date of Incorporations,Effective Dates,Location of Principal Offices,Agent Resigned,Address Maintained,Name and Address of Registered Agents,"Officers, Directors, and Corporations",Name and Business Address of General Partners,LLC Managers,Stocks,Purposes,NIACS,Business Entities
121,"The Corporate Marketplace, Inc.",149813,42,Revoked Entity,"818 MIDDLE STREET EAST GREENWICH, RI  02818  USA",inactive,Corp,"The Corporate Marketplace, Inc.",Foreign Corporation,000149813,08-05-2005,08-05-2005,"818 MIDDLE STREET ,EAST GREENWICH, RI 02818 USA",Y,Y," , , ","PRESIDENTCHRISTOPHER CRAWFORD 81 AMERICA WAY JAMESTOWN, RI 02835 USACHAIRMANCHRISTOPHER J CRAWFORD 6946 POST RD NORTH KINGSTOWN, RI 02852 USADIRECTORDANIEL HORNE 6946 POST RD NORTH KINGSTOWN, RI 02852 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesPWP $ 0.01001,847,1431,847,143CWP $ 0.01006,200,0004,000,000"," TO ENGAGE IN PRODUCT SALES AND DISTRIBUTION INCLUDING WITHOUT LIMITATION THE PURCHASE, SALE AND DISTRIBUTION OF JEWELRY AND RELATED GIFTWARE TITLE: 7-1.2-1405 ",42 Wholesale Trade,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
122,"The Corporate Marketplace, Inc. **MERGED INTO AN ENTITY NOT QUALIFIED IN RI: THE CORPORATE MARKETPLACE, INC. (DE)**",109543, ,Merged into an entity of record,"1130 TEN ROD ROAD, UNIT F206 NORTH KINGSTOWN, RI  02852-  USA",inactive,Corp,"The Corporate Marketplace, Inc. **MERGED INTO AN ENTITY NOT QUALIFIED IN RI: THE CORPORATE MARKETPLACE, INC. (DE)**",Domestic Profit Corporation,000109543,12-03-1999,12-03-1999,"1130 TEN ROD ROAD, UNIT F206 ,NORTH KINGSTOWN, RI 02852- USA",N,Y," JAMES H. HAHN, ESQ.,180 SOUTH MAIN STREET ,PROVIDENCE, RI 02903 USA","PRESIDENTCHRISTOPHER J CRAWFORD 1130 TEN ROD ROAD, UNIT F206 NORTH KINGSTOWN, RI 02852- USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.00006,000100"," ENGAGE IN PRODUCT SALES AND DISTRIBUTION, INCLUDING WITHOUT LIMITATION, THE PURCHASE, SALE AND DISTRIBUTION OF JEWLERY AND RELATED GIFTWARE. TITLE: 7-1.1-51",None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
0,In Clover Inc.,1689816,512110,Revoked Entity,"7538 DENROCK AVE. LOS ANGELES, CA  90045  USA",inactive,INC,In Clover Inc.,Foreign Corporation,001689816,11-07-2018,11-07-2018,"7538 DENROCK AVE. ,LOS ANGELES, CA 90045 USA",N,Y," CHAD A. VERDI,214 MAIN STREET ,EAST GREENWICH, RI 02818 USA","PRESIDENTGABRAEL DAVID WILSON 7538 DENROCK AVE. LA, CA 90045",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.00001,0000", TALENT SERVICES IN A MOTION PICTURE FILM ,512110 Motion Picture and Video Production ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
1,"In Company with Angels, Inc.",489070, ,Withdrawn,"1 GROVE STREET BARRINGTON, RI  02806  USA",inactive,INC,"In Company with Angels, Inc.",Foreign Non-Profit Corporation,000489070,01-14-2009,01-14-2009,"1 GROVE STREET ,BARRINGTON, RI 02806 USA",N,Y," SUSANNAH CURRIE,1 GROVE STREET ,BARRINGTON, RI 02806 USA","PRESIDENTARTHUR FEMENELLA 10 COUNTY LINE RD BRANCHBURG, NJ 08876 USATREASURERSUSANNAH CURRIE 38 VIOLA AVE. APT 2 RIVERSIDE, RI 02915 USASECRETARYWILLIAM SEYMOUR 4180 WILLIAMS WHARF ROAD SAINT LEONARD, MD 20685 USA",None,None,None, TO SHARE AND PROVIDE EDUCATION ABOUT THE HISTORICAL AND ARTISTIC SIGNIFICANCE OF LOUIS C. TIFFANYS WINDOW SERIES ANGELS REPRESENTING SEVEN CHURCHES ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application for Transfer of Authority,Articles of Consolidation,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
2,"IN CONTROL, INC.",75856, ,Revoked Entity," ,     USA",inactive,INC,"IN CONTROL, INC.",Domestic Profit Corporation,000075856,02-23-1994,02-23-1994," , USA",N,Y," AMERICO M. SCUNGIO,167 MAIN STREET ,WESTERLY, RI 02891 USA", ,None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNP $ 0.00001,0000", TITLE: 7-1.1,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
3,In Cytu Incorporated,164155, ,Revoked Entity,"6 BLACKSTONE VALLEY PLACE LINCOLN, RI  02865  USA",inactive,INC,In Cytu Incorporated,Foreign Corporation,000164155,05-25-2007,05-25-2007,"6 BLACKSTONE VALLEY PLACE ,LINCOLN, RI 02865 USA",N,Y," ALFRED V. VASCONCELLOS,766 LATEN KNIGHT ROAD ,CRANSTON, RI 02921 USA","PRESIDENTALFRED V VASCONCELLOS 701 GEORGE WASHINGTON HIGHWAY LINCOLN, RI 02865 USADIRECTORALFRED V. VASCONCELLOS 701 GEORGE WASHINGTON HIGHWAY LINCOLN, RI 02865 USADIRECTORRICHARD BERENSON 701 GEORGE WASHINGTON HIGHWAY LINCOLN, RI 02865 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.00105,000,00073,202,821", CANCER VACCINES and CELL-BASED REGENERATIVE MEDICINE TITLE: 7-1.2-1405 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
4,In Cytu Incorporated,165493, ,Expired," ,     ",inactive,INC,In Cytu Incorporated,Domestic Profit Corporation,000165493,04-19-2007,04-19-2007," , ",N,Y," MICHAEL K. BARRON,33 ARCH STREET, 26TH FLOOR ,BOSTON, MA 02110- USA", ,None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of shares , ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
5,"IN-CUBE-8, LLC.",788857,999999,Revoked Entity,"54 SOUTH MEADOW LANE BARRINGTON, RI  02806  USA",inactive,INC,"IN-CUBE-8, LLC.",Domestic Limited Liability Company,000788857,03-19-2012,03-19-2012,"54 SOUTH MEADOW LANE ,BARRINGTON, RI 02806 USA",N,Y," ADLER POLLOCK & SHEEHAN P.C.,ONE CITIZENS PLAZA, 8TH FLOOR ,PROVIDENCE, RI 02903 USA",None,"MANAGERPAUL A LATHAM 54 SOUTH MEADOW LANE BARRINGTON, RI 02806 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERPAUL A LATHAM 54 SOUTH MEADOW LANE BARRINGTON, RI 02806 USA",None, BUSINESS CONSULTANCY SERVICES ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
6,"Inca's, LLC",156133, ,Revoked Entity,"424 THAMES STREET NEWPORT, RI  02840-  USA",inactive,INC,"Inca's, LLC",Domestic Limited Liability Company,000156133,05-15-2006,05-15-2006,"424 THAMES STREET ,NEWPORT, RI 02840- USA",N,Y," NATIONAL REGISTERED AGENTS, INC.,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA",None, , ,None, TITLE: 7-16 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
7,IncAmerica Corp.,81828, ,Withdrawn,"15 COLUMBUS CIRCLE NEW YORK, NY  10023  USA",inactive,INC,IncAmerica Corp.,Foreign Corporation,000081828,11-02-1994,11-02-1994,"15 COLUMBUS CIRCLE ,NEW YORK, NY 10023 USA",N,Y," PRENTICE-HALL CORP SYSTEM,170 WESTMINSTER STREET, SUITE 900 ,PROVIDENCE, RI 02903 USA","PRESIDENTDANIEL R BUTLER 1013 CENTRE ROAD WILMINGTON, DE 19805 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of shares , ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
8,Incandesoft LLC,142561, ,Revoked Entity,"167 SKUNK HILL ROAD EXETER, RI  02822-  USA",inactive,INC,Incandesoft LLC,Domestic Limited Liability Company,000142561,09-01-2004,09-01-2004,"167 SKUNK HILL ROAD ,EXETER, RI 02822- USA",N,Y," DEREK SIMON,167 SKUNK HILL ROAD ,EXETER, RI 02822- USA",None, , ,None, TITLE: 7-16 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
9,Incandetech LLC,162505, ,Revoked Entity,"13 KING ST. EAST GREENWICH, RI  02817  US",inactive,INC,Incandetech LLC,Domestic Limited Liability Company,000162505,03-13-2007,03-13-2007,"13 KING ST. ,EAST GREENWICH, RI 02817 US",N,Y," DEREK SIMON,167 SKUNK HILL ROAD ,EXETER, RI 02822- USA",None, , ,None, Repair and services related to information technology to residential and commercial customers. TITLE: 7-16 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
